unit,indic_is,ind_type,geo\time	2011 	2013 	2015 
PC_IND,I_IUWIKI,RETIR_OTHER,SK	7 	9 	17 
PC_IND,I_IUWIKI,RETIR_OTHER,TR	: 	4 	9 
PC_IND,I_IUWIKI,RETIR_OTHER,UK	18 	26 	38 
PC_IND,I_IUWIKI,SAL_SELF_FAM,AT	60 	62 	64 
PC_IND,I_IUWIKI,SAL_SELF_FAM,BE	35 	42 	48 
PC_IND,I_IUWIKI,SAL_SELF_FAM,BG	20 	16 	31 
PC_IND,I_IUWIKI,SAL_SELF_FAM,CY	31 	32 	48 
PC_IND,I_IUWIKI,SAL_SELF_FAM,CZ	20 	33 	40 
PC_IND,I_IUWIKI,SAL_SELF_FAM,DE	67 	70 	72 
PC_IND,I_IUWIKI,SAL_SELF_FAM,DK	53 	60 	65 
PC_IND,I_IUWIKI,SAL_SELF_FAM,EA	49 	57 	54 
PC_IND,I_IUWIKI,SAL_SELF_FAM,EE	45 	51 	61 
PC_IND,I_IUWIKI,SAL_SELF_FAM,EL	34 	41 	42 
PC_IND,I_IUWIKI,SAL_SELF_FAM,ES	45 	53 	61 
PC_IND,I_IUWIKI,SAL_SELF_FAM,EU27_2007	45 	51 	51 
PC_IND,I_IUWIKI,SAL_SELF_FAM,EU27_2020	44 	51 	50 
PC_IND,I_IUWIKI,SAL_SELF_FAM,EU28	45 	51 	51 
PC_IND,I_IUWIKI,SAL_SELF_FAM,FI	69 	76 	79 
PC_IND,I_IUWIKI,SAL_SELF_FAM,FR	43 	56 	28 
PC_IND,I_IUWIKI,SAL_SELF_FAM,HR	24 	43 	57 
PC_IND,I_IUWIKI,SAL_SELF_FAM,HU	34 	35 	53 
PC_IND,I_IUWIKI,SAL_SELF_FAM,IE	26 	32 	32 
PC_IND,I_IUWIKI,SAL_SELF_FAM,IS	47 	60 	: 
PC_IND,I_IUWIKI,SAL_SELF_FAM,IT	36 	44 	46 
PC_IND,I_IUWIKI,SAL_SELF_FAM,LT	26 	35 	38 
PC_IND,I_IUWIKI,SAL_SELF_FAM,LU	70 	76 	78 
